,Psi,Gamma,Delta
1,0.0009285622749153397,0.00011202198010241836,-0.00016257028178495551
2,0.0048760538349483995,6.72133177171225e-05,-0.00033377966083266873
3,0.0042612111759161445,0.0004543173212566411,-0.0022175433276846873
4,0.006252612805958485,8.555741651687552e-05,-0.00029627437881551153
5,0.013665223826936496,4.28666295250932e-05,-0.005142629903223131
6,0.00801080865761383,0.00042733599566265284,0.00010447643444523049
7,0.005814012963153592,5.626557377666128e-05,-0.00019604865339381615
8,0.00226068971486303,9.319627829430227e-05,-0.001082939153368951
9,0.0006670132484224086,7.226761530484076e-05,-0.0027596590703783813
10,-2.4393639226725746e-05,0.00046838204412149274,0.00037475775742479956
11,0.0019804523758638532,0.0003726638683458228,-0.00026239718455104994
12,0.0025693846749308144,9.70214671257745e-05,-0.0002660240332737324
13,0.0033866966017273878,1.8982346451316412e-05,-0.0003528783465150268
14,0.006059520036556428,0.0005885745083580107,-0.0014091134951477874
15,0.001661891583622687,0.00010296346820185021,-0.00047486043429658667
16,0.011773361156935495,0.00024757666049033913,-0.0016028650862630073
17,0.0030188481154909443,0.0005344497355389222,0.00047140889085217
18,0.006201569502805696,6.376152896474206e-05,-0.0012540320487520375
19,0.006725033646436443,0.00027076551471357803,-0.0010837823399737299
20,0.0008733983752156738,0.00010417238803939809,-0.00010723866809052925
21,0.004423128898432581,0.00013143056827101294,-2.5453658714466804e-05
22,0.0035433681753312624,0.00019287498553285205,-0.00026798296007545614
23,0.002824211930516759,2.5403427540255478e-05,-0.0001992753279082462
24,-4.670181180872323e-05,0.00015146039046308655,-0.0001878565228328596
25,0.004098832219638204,0.00015682993926089867,-4.418007558225942e-05
26,0.0023546761573332037,7.853064330476952e-05,-0.00023144719948799196
27,0.00458520807416298,0.0001418254759989122,-7.43750607078745e-05
28,0.017907477412085423,0.00013746122979647142,-0.0008467732182967768
29,0.00092322650504226,3.088736496902539e-05,-0.0003950274309054377
30,0.006607148213757894,0.00035245214574305365,-0.00047410132992288176
