,Psi,Gamma,Delta
1,0.006631525956032558,0.10582738423983909,-0.003979087813422488
2,0.019345765278459298,0.021339861623137096,-0.00444946721068204
3,0.014820139506950714,0.1721699560610341,-0.0019951038604522076
4,0.01056574465891974,0.06081203943864728,-0.0038154945732384316
5,0.021669988867313528,0.22925689124382592,-0.010726290135111505
6,0.011347461437359319,0.04514700201758725,-0.00610836404191023
7,0.010721621443394475,0.02816376542239911,-0.004312833122203458
8,0.00617501480506262,0.011757855962239749,-0.0008161922479273664
9,0.014805832038342182,0.14972438455283205,-0.00460614228663303
10,0.0060304998701321555,0.21229997750682128,-0.002825011139582445
11,0.011733263836057994,0.06842679424077489,-0.006799980105563486
12,0.013941873227205082,0.07924417746197622,-0.00605923821283072
13,0.0046182086447641435,0.04033406269252491,-0.0016422175907794823
14,0.01927409158483817,0.1197710295915049,-0.004641960521844513
15,0.019296495682370907,0.2656482931926841,8.224180743088283e-07
16,0.011227924483512508,0.159398252471672,-0.004251571396878928
17,0.009823015367074195,0.07727681272719401,-0.005125070713399182
18,0.013211450153612025,0.1106788440321333,-0.007596452266043774
19,0.003526286754367336,0.03165690009699524,-0.0029646345492096438
20,0.0042143733109885895,0.014502830770529789,-0.006258204807755574
21,0.013986702646666627,0.055767575873569036,-0.007870526150694113
22,0.008888256373395187,0.14791697407694743,-0.002867333327464916
23,0.006604715834591435,0.048487638286517844,-0.004434042618391698
24,0.007367281935573677,0.18400603965188705,-0.0029203311072474314
25,0.024509516255088404,0.05006163218995192,-0.0027279988834249536
26,0.02001983722563394,0.20934367590475572,-0.0029267676742843474
27,0.012693815026063593,0.11537827243024171,-0.0035998694128375197
28,0.013413508977819788,0.09829326454013466,-0.005532080877530543
29,0.008573094365581957,0.19181929239602008,-0.003653540286933543
30,0.015325868669124554,0.09214202130579933,3.8731126974722585e-05
