,Psi,Gamma,Delta
1,0.0001152998606267846,3.184107894620171e-05,-0.0032442732727456756
2,3.557300810565111e-05,5.53937635725795e-05,-0.0002752678320079513
3,0.00012022235864332541,4.5048902995489316e-05,-0.00208414976504016
4,8.743064495429377e-05,5.4889585142605785e-05,-0.010332132882707248
5,0.0005110175143582526,2.405627102959129e-05,-0.0013699467986093995
6,0.00016373667816551546,1.9473892665877948e-05,-0.0036554401242629223
7,0.00024224398935777778,8.395351874203766e-05,-0.0019489867422864456
8,0.0002490124356419234,0.00010085027601478984,-0.0145315377015139
9,8.668506711725343e-05,3.9553868462495534e-05,-0.0010365483699311309
10,0.000772755511524075,8.847857394801341e-05,-0.0036946955903161757
11,0.0002649964656124638,7.091179472108331e-06,-0.0108336556760244
12,6.430043834791004e-05,6.757191591681404e-05,-0.003530865873706771
13,0.00019256432415747836,5.642394549572939e-05,-0.00029464523473800904
14,0.0007746305009945686,1.7681733193142778e-05,-0.028381997830370903
15,0.0006051168420961403,2.9440727850789065e-05,-0.0007536337558764726
16,0.00037364615736019946,8.450406492022163e-05,-0.009099547389239862
17,0.00012712349377191337,8.249525965437683e-05,-0.0016017090509585167
18,0.00011741615131189283,2.6358530823318902e-05,-0.00012705212180141217
19,0.0043083841023584665,3.293264103386663e-05,-0.0020145789449623214
20,0.00031669866965671915,6.559784990631686e-05,-0.005250691570180162
21,0.0003932580347793579,3.885993044387069e-05,-0.008997756401309606
22,0.00010652954296424183,3.307312977392268e-06,-0.006421413440408766
23,-2.8539139153839444e-06,7.584062537154809e-05,-0.002700492527505507
24,0.00011142534079995836,5.2486881099444496e-06,-0.00013557961654438535
25,0.00042801582091651035,2.8201802996920222e-05,-0.01209377672336752
26,0.0009254483345241386,1.1567065606277992e-05,-0.0020953784916008765
27,0.00013349424207060218,3.23981024806566e-05,-0.001490701874545237
28,7.235193983249382e-05,5.218662809707218e-05,-0.0026295023303584512
29,9.518507253020186e-05,0.00016505022445750044,-0.0289653034618651
30,0.0034389214042548533,5.922088215973256e-05,-0.012500027588819795
